"priority","document","id","grade","page","categories","warnings","source_pdf","text"
"high-review","12. Retinopathy, Neuropathy, and Foot Care","12.5","B","2","Contraindications, warnings, and adverse effects; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/12. Retinopathy, Neuropathy, and Foot Care.pdf","If there is no evidence of retinopathy from one or more annual eye exams and glycemic indicators are within the goal range, then screening every 1–2 years may be considered. If any level of diabetic retinopathy is present, subsequent dilated retinal examinations should be repeated at least annually by an ophthalmologist or optometrist. If retinopathy is progressing or sightthreatening, then examinations by an ophthalmologist will be required more frequently."
"high-review","12. Retinopathy, Neuropathy, and Foot Care","12.6","B","2","Contraindications, warnings, and adverse effects; Therapy substitution, access, or affordability","","guidelines-sources/ADA/2025/12. Retinopathy, Neuropathy, and Foot Care.pdf","Programs that use retinal photography with remote reading or the use of U.S. Food and Drug Administration– approved artificial intelligence algorithms to improve access to diabetic retinopathy screening are appropriate screening strategies for diabetic retinopathy. Such programs need to provide pathways for timely referral for a comprehensive eye examination when indicated."
"high-review","13. Older Adults","13.7","E","3","Insulin or high-risk glucose-lowering medication; Procedures, surgery, technology, or devices","","guidelines-sources/ADA/2025/13. Older Adults.pdf","Consider the use of automated insulin delivery systems,Amechanical insulin delivery systems, E and other advanced insulin delivery devices such as connected pens"
"high-review","13. Older Adults","13.8c","C","4","Acute emergency risk; Older adults, frailty, and deintensification","","guidelines-sources/ADA/2025/13. Older Adults.pdf","Older adults with very complex or poor health receive minimal benefit from stringent glycemic goals. Clinicians should focus on avoiding hypoglycemia and symptomatic hyperglycemia rather than achieving stringent glycemic goals."
"high-review","13. Older Adults","13.9","C","4","Contraindications, warnings, and adverse effects; Older adults, frailty, and deintensification","","guidelines-sources/ADA/2025/13. Older Adults.pdf","Screening for diabetes complications should be individualized in older adults with diabetes. Particular attention should be paid to complications that would lead to impairment of functional status or quality of life."
"high-review","13. Older Adults","13.11","E","4","Cardiovascular disease and BP/lipids; Older adults, frailty, and deintensification","","guidelines-sources/ADA/2025/13. Older Adults.pdf","Treatment of other cardiovascular risk factors should be individualized in older adults with diabetes, considering the time frame of benefit. Lipid-lowering therapy and antiplatelet agents may benefit those with life expectancies at least equal to the time frame of primary prevention or secondary intervention trials."
"high-review","13. Older Adults","13.13","A","7","Contraindications, warnings, and adverse effects; Older adults, frailty, and deintensification","","guidelines-sources/ADA/2025/13. Older Adults.pdf","For older adults with type 2 diabetes, overweight or obesity, and capacity to exercise safely, an intensive lifestyle intervention focused on dietary changes, physical activity, and modest weight loss (e.g., 5–7%) should be considered for its benefits on quality of life, mobility and physical functioning, and cardiometabolic risk."
"high-review","13. Older Adults","13.14","B","7","Acute emergency risk; Older adults, frailty, and deintensification","","guidelines-sources/ADA/2025/13. Older Adults.pdf","Select medications with low risk of hypoglycemia in older adults with type 2 diabetes, specifically for those with hypoglycemia risk factors."
"high-review","13. Older Adults","13.20","E","12","Cardiovascular disease and BP/lipids; Older adults, frailty, and deintensification","","guidelines-sources/ADA/2025/13. Older Adults.pdf","When palliative care is needed in older adults with diabetes, health care professionals should initiate conversations with people with diabetes and their care partners regarding the goals and intensity of care. Strict glucose and blood pressure management are not necessary, and simplification of medication plans can be considered. Similarly, the intensity of lipid management can be relaxed, and withdrawal of lipid-lowering therapy may be appropriate."
"high-review","13. Older Adults","13.21","C","12","Contraindications, warnings, and adverse effects; Older adults, frailty, and deintensification","","guidelines-sources/ADA/2025/13. Older Adults.pdf","Prioritize the overall comfort, prevention of distressing symptoms, and preservation of quality of life and dignity as primary goals for diabetes management at the end of life."
"high-review","14. Children and Adolescents","14.11","B","5","Children and adolescents; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","At diagnosis and during routine follow-up care, screen youth with type 1 diabetes for psychosocial concerns (e.g., diabetes distress, depressive symptoms, and disordered eating), family factors, and behavioral health concerns that could impact diabetes management with age-appropriate standardized and validated tools. Refer to a qualified behavioral health professional, preferably experienced in childhood diabetes, when indicated."
"high-review","14. Children and Adolescents","14.23","B","7","Children and adolescents; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","A1C goals must be individualized and reassessed over time. An A1C of <7% (<53 mmol/mol) is appropriate for many children and adolescents."
"high-review","14. Children and Adolescents","14.25","B","7","Acute emergency risk; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Even less stringent A1C goals (such as <8% [<64 mmol/mol]) may be appropriate for individuals with a history of severe hypoglycemia or limited life expectancy or where the harms of treatment are greater than the benefits."
"high-review","14. Children and Adolescents","14.26","B","7","Acute emergency risk; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Health care professionals may reasonably suggest more stringent A1C goals (such as <6.5% [<48 mmol/ mol]) for selected individuals if they can be achieved without significant hypoglycemia, excessive weight gain, negative impacts on well-being, or undue burden of care or in those who have nonglycemic factors that decrease A1C (e.g., lower erythrocyte life span). Lower goals may also be appropriate during the honeymoon phase."
"high-review","14. Children and Adolescents","14.31","B","8","Children and adolescents; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Screen youth with type 1 diabetes for celiac disease by measuring IgA tissue transglutaminase (tTG) antibodies, with documentation of normal total serum IgA levels, soon after the diagnosis of diabetes, or IgG tTG and deamidated gliadin antibodies if IgA is deficient."
"high-review","14. Children and Adolescents","14.38","B","9","Cardiovascular disease and BP/lipids; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Initial lipid profile should be performed soon after diagnosis, preferably after glycemia has improved and age is ≥2 years. If initial LDL cholesterol is ≤100 mg/dL (≤2.6 mmol/L), subsequent testing should be performed at 9–11 years of age."
"high-review","14. Children and Adolescents","14.39","E","9","Cardiovascular disease and BP/lipids; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","If LDL cholesterol values are within the accepted risk level (<100 mg/dL [<2.6 mmol/L]), a lipid profile repeated every 3 years is reasonable."
"high-review","14. Children and Adolescents","14.42","E","9","Cardiovascular disease and BP/lipids; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","The goal of therapy is an LDL cholesterol value <100 mg/dL (<2.6 mmol/L)."
"high-review","14. Children and Adolescents","14.51","B","11","Children and adolescents; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Fasting plasma glucose, 2-h plasma glucose during a 75-g oral glucose tolerance test, and A1C can be used to test for prediabetes or diabetes in children and adolescents."
